"GAME_ID","AWAY_LINEUP1_BAT_ID","AWAY_LINEUP1_FLD_CD","AWAY_LINEUP2_BAT_ID","AWAY_LINEUP2_FLD_CD","AWAY_LINEUP3_BAT_ID","AWAY_LINEUP3_FLD_CD","AWAY_LINEUP4_BAT_ID","AWAY_LINEUP4_FLD_CD","AWAY_LINEUP5_BAT_ID","AWAY_LINEUP5_FLD_CD","AWAY_LINEUP6_BAT_ID","AWAY_LINEUP6_FLD_CD","AWAY_LINEUP7_BAT_ID","AWAY_LINEUP7_FLD_CD","AWAY_LINEUP8_BAT_ID","AWAY_LINEUP8_FLD_CD","AWAY_LINEUP9_BAT_ID","AWAY_LINEUP9_FLD_CD"
"BAL202007290","lemad001",4,"judga001",9,"torrg001",6,"stanm004",10,"hicka001",8,"fordm002",3,"sancg002",2,"urshg001",5,"gardb001",7
"BAL202007300","lemad001",4,"judga001",9,"torrg001",6,"stanm004",10,"hicka001",8,"voitl001",3,"sancg002",2,"urshg001",5,"andum001",7
"BAL202007310","choij001",3,"loweb001",4,"adamw002",6,"tsuty001",7,"diazy001",5,"renfh001",10,"kierk001",8,"margm001",9,"zunim001",2
"BAL202008010","diazy001",5,"brosm001",3,"tsuty001",7,"martj008",10,"adamw002",6,"renfh001",9,"zunim001",2,"margm001",8,"wendj002",4
"BAL202008020","diazy001",10,"brosm001",5,"loweb001",4,"martj008",3,"renfh001",9,"margm001",7,"adamw002",6,"kierk001",8,"zunim001",2
"BAL202008040","villj001",6,"bertj001",4,"aguij001",3,"dickc002",7,"andeb006",5,"forsl001",10,"cervf001",2,"brinl001",9,"harrm003",8
"BAL202008051","villj001",6,"bertj001",9,"dickc002",7,"aguij001",3,"andeb006",5,"joycm001",10,"cervf001",2,"alvae001",4,"harrm003",8
"BAL202008140","turnt001",6,"eatoa002",9,"cabra002",3,"sotoj001",7,"kendh001",10,"garcl006",4,"kiebc001",5,"gomey001",2,"roblv001",8
"BAL202008150","turnt001",6,"eatoa002",9,"sotoj001",7,"cabra002",3,"thame001",10,"garcl006",4,"kiebc001",5,"gomey001",2,"roblv001",8
"BAL202008160","turnt001",6,"sotoj001",7,"cabra002",3,"suzuk001",2,"kiebc001",5,"harrj002",10,"roblv001",8,"taylm002",9,"difow001",4
"BAL202008170","biggc002",4,"gricr001",8,"shawt001",5,"hernt002",9,"tellr001",3,"guerv002",10,"gurrl001",7,"panij002",6,"jansd001",2
"BAL202008180","biggc002",9,"gricr001",10,"shawt001",5,"guerv002",3,"jansd001",2,"gurrl001",7,"drurb001",4,"alfoa002",8,"espis001",6
"BAL202008190","gurrl001",10,"hernt002",9,"shawt001",5,"gricr001",8,"guerv002",3,"drurb001",4,"espis001",6,"alfoa002",7,"mcgur002",2
"BAL202008200","verda001",7,"dever001",5,"martj006",10,"bogax001",6,"morem001",3,"vazqc001",2,"pillk001",9,"bradj001",8,"peraj003",4
"BAL202008210","pillk001",9,"dever001",5,"martj006",10,"bogax001",6,"vazqc001",2,"verda001",7,"chavm001",3,"bradj001",8,"peraj003",4
"BAL202008220","verda001",7,"dever001",5,"martj006",10,"bogax001",6,"morem001",3,"vazqc001",2,"pillk001",9,"bradj001",8,"peraj003",4
"BAL202008230","pillk001",7,"dever001",5,"martj006",9,"bogax001",6,"vazqc001",10,"chavm001",3,"plawk001",2,"bradj001",8,"arauj001",4
"BAL202009010","nimmb001",8,"confm001",9,"smitd008",3,"canor001",4,"mcnej002",7,"alonp001",10,"guill001",5,"gimea001",6,"sanca009",2
"BAL202009020","mcnej002",7,"davij006",10,"confm001",9,"frazt001",5,"canor001",4,"alonp001",3,"ramow001",2,"marij002",8,"rosaa003",6
"BAL202009041","lemad001",5,"voitl001",10,"gardb001",8,"frazc001",9,"fordm002",3,"sancg002",2,"taucm001",7,"estrt001",4,"wadet002",6
"BAL202009042","hicka001",8,"voitl001",10,"gardb001",7,"frazc001",9,"fordm002",3,"andum001",5,"krate001",2,"wadet002",6,"estrt001",4
"BAL202009050","hicka001",8,"voitl001",3,"torrg001",6,"frazc001",9,"sancg002",10,"andum001",7,"higak001",2,"estrt001",5,"wadet002",4
"BAL202009060","lemad001",4,"voitl001",10,"gardb001",8,"frazc001",9,"fordm002",3,"andum001",5,"taucm001",7,"krate001",2,"wadet002",6
"BAL202009140","acunr001",8,"freef001",3,"ozunm001",10,"darnt001",2,"swand001",6,"markn001",9,"duvaa001",7,"rilea001",5,"albio001",4
"BAL202009150","acunr001",8,"freef001",3,"ozunm001",10,"darnt001",2,"swand001",6,"markn001",9,"duvaa001",7,"rilea001",5,"albio001",4
"BAL202009160","acunr001",8,"freef001",3,"ozunm001",7,"darnt001",10,"swand001",6,"duvaa001",9,"rilea001",5,"flowt001",2,"albio001",4
"BAL202009171","tsuty001",10,"loweb001",4,"adamw002",6,"lowen001",3,"meada001",7,"wendj002",5,"kierk001",8,"philb002",9,"perem005",2
"BAL202009180","tsuty001",10,"arozr001",7,"loweb001",4,"brosm001",5,"lowen001",3,"margm001",8,"renfh001",9,"adamw002",6,"perem005",2
"BAL202009190","tsuty001",7,"loweb001",4,"arozr001",10,"lowen001",3,"wendj002",6,"brosm001",5,"kierk001",8,"philb002",9,"perem005",2
"BAL202009200","margm001",8,"arozr001",7,"tsuty001",5,"smitk002",10,"adamw002",6,"lowen001",3,"renfh001",9,"zunim001",2,"wendj002",4
